jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
18,Moscardo,Santander,0,1
18,Logrones,Burgos,0,1
18,Langreo,Ontinyent,1,0
18,Sant Andreu,Mallorca,1,1
18,Calvo Sotelo,Villarreal,4,0
19,Mallorca,Cadiz,2,1
19,Racing de Ferrol,Moscardo,3,1
19,Burgos,Betis,1,0
19,Ontinyent,Logrones,1,1
19,Oviedo,Calvo Sotelo,0,0
19,Rayo Vallecano,Deportivo,1,1
19,Santander,Hercules,4,1
19,Cordoba,Castellon,1,0
19,Pontevedra,Langreo,2,0
19,Villarreal,Sant Andreu,1,1
20,Betis,Logrones,3,2
20,Santander,Castellon,2,1
20,Cordoba,Langreo,2,1
20,Racing de Ferrol,Hercules,3,0
20,Oviedo,Sant Andreu,1,0
20,Mallorca,Deportivo,2,1
20,Villarreal,Cadiz,1,0
20,Pontevedra,Ontinyent,2,0
20,Rayo Vallecano,Moscardo,2,1
20,Burgos,Calvo Sotelo,3,0
21,Calvo Sotelo,Betis,3,1
21,Logrones,Pontevedra,1,1
21,Ontinyent,Cordoba,0,0
21,Langreo,Santander,1,0
21,Cadiz,Oviedo,0,1
21,Castellon,Racing de Ferrol,2,0
21,Deportivo,Villarreal,2,0
21,Moscardo,Mallorca,1,1
21,Hercules,Rayo Vallecano,1,0
21,Sant Andreu,Burgos,1,0
22,Betis,Sant Andreu,3,1
22,Cordoba,Pontevedra,1,2
22,Oviedo,Deportivo,3,2
22,Villarreal,Moscardo,3,2
22,Santander,Ontinyent,3,0
22,Racing de Ferrol,Langreo,4,0
22,Mallorca,Hercules,2,2
22,Rayo Vallecano,Castellon,3,0
22,Burgos,Cadiz,5,0
22,Calvo Sotelo,Logrones,1,1
23,Ontinyent,Racing de Ferrol,1,1
23,Cadiz,Betis,1,1
23,Moscardo,Oviedo,0,0
23,Castellon,Mallorca,0,0
23,Langreo,Rayo Vallecano,0,0
23,Logrones,Cordoba,0,0
23,Deportivo,Burgos,2,1
23,Hercules,Villarreal,2,1
23,Pontevedra,Santander,1,0
23,Sant Andreu,Calvo Sotelo,1,0
24,Oviedo,Hercules,4,1
24,Villarreal,Castellon,0,2
24,Rayo Vallecano,Ontinyent,0,0
24,Mallorca,Langreo,3,0
24,Santander,Cordoba,0,0
24,Betis,Deportivo,1,1
24,Calvo Sotelo,Cadiz,1,2
24,Burgos,Moscardo,1,0
24,Racing de Ferrol,Pontevedra,2,1
24,Sant Andreu,Logrones,1,0
25,Cadiz,Sant Andreu,2,0
25,Pontevedra,Rayo Vallecano,2,1
25,Ontinyent,Mallorca,0,0
25,Moscardo,Betis,0,0
25,Logrones,Santander,4,1
25,Castellon,Oviedo,2,0
25,Langreo,Villarreal,2,1
25,Cordoba,Racing de Ferrol,2,1
25,Deportivo,Calvo Sotelo,1,0
25,Hercules,Burgos,1,0
26,Mallorca,Pontevedra,2,1
26,Cadiz,Logrones,1,1
26,Burgos,Castellon,1,0
26,Villarreal,Ontinyent,1,1
26,Rayo Vallecano,Cordoba,2,1
26,Calvo Sotelo,Moscardo,2,0
26,Betis,Hercules,3,0
26,Oviedo,Langreo,4,1
26,Racing de Ferrol,Santander,1,1
26,Sant Andreu,Deportivo,2,0
27,Ontinyent,Oviedo,2,1
27,Pontevedra,Villarreal,3,0
27,Langreo,Burgos,0,0
27,Cordoba,Mallorca,0,0
27,Moscardo,Sant Andreu,0,0
27,Castellon,Betis,0,1
27,Deportivo,Cadiz,1,0
27,Santander,Rayo Vallecano,3,3
27,Hercules,Calvo Sotelo,2,0
27,Logrones,Racing de Ferrol,0,0
28,Oviedo,Pontevedra,1,2
28,Betis,Langreo,3,0
28,Rayo Vallecano,Racing de Ferrol,2,0
28,Mallorca,Santander,4,2
28,Calvo Sotelo,Castellon,2,2
28,Villarreal,Cordoba,0,2
28,Deportivo,Logrones,1,0
28,Burgos,Ontinyent,4,0
28,Cadiz,Moscardo,1,0
28,Sant Andreu,Hercules,2,0
29,Pontevedra,Burgos,0,0
29,Castellon,Sant Andreu,0,2
29,Ontinyent,Betis,1,1
29,Logrones,Rayo Vallecano,1,0
29,Santander,Villarreal,2,0
29,Moscardo,Deportivo,2,0
29,Cordoba,Oviedo,0,0
29,Hercules,Cadiz,2,0
29,Racing de Ferrol,Mallorca,2,0
29,Langreo,Calvo Sotelo,0,2
30,Burgos,Cordoba,1,0
30,Deportivo,Hercules,4,1
30,Betis,Pontevedra,2,0
30,Calvo Sotelo,Ontinyent,2,2
30,Mallorca,Rayo Vallecano,1,1
30,Villarreal,Racing de Ferrol,3,0
30,Cadiz,Castellon,0,0
30,Moscardo,Logrones,0,0
30,Oviedo,Santander,0,0
30,Sant Andreu,Langreo,1,1
31,Pontevedra,Calvo Sotelo,2,0
31,Ontinyent,Sant Andreu,1,0
31,Logrones,Mallorca,0,0
31,Rayo Vallecano,Villarreal,3,0
31,Cordoba,Betis,1,1
31,Castellon,Deportivo,0,0
31,Langreo,Cadiz,0,1
31,Racing de Ferrol,Oviedo,2,0
31,Santander,Burgos,1,0
31,Hercules,Moscardo,2,1
32,Hercules,Logrones,0,0
32,Sant Andreu,Pontevedra,1,1
32,Villarreal,Mallorca,1,0
32,Oviedo,Rayo Vallecano,0,1
32,Betis,Santander,3,1
32,Cadiz,Ontinyent,0,0
32,Moscardo,Castellon,1,1
32,Deportivo,Langreo,2,0
32,Calvo Sotelo,Cordoba,1,1
32,Burgos,Racing de Ferrol,2,1
33,Pontevedra,Cadiz,2,2
33,Cordoba,Sant Andreu,3,0
33,Rayo Vallecano,Burgos,1,2
33,Castellon,Hercules,3,0
33,Mallorca,Oviedo,1,0
33,Racing de Ferrol,Betis,0,0
33,Ontinyent,Deportivo,1,0
33,Langreo,Moscardo,2,0
33,Logrones,Villarreal,3,0
33,Santander,Calvo Sotelo,2,0
34,Castellon,Logrones,1,0
34,Burgos,Mallorca,1,1
34,Cadiz,Cordoba,1,1
34,Deportivo,Pontevedra,1,0
34,Moscardo,Ontinyent,1,0
34,Hercules,Langreo,1,0
34,Betis,Rayo Vallecano,1,1
34,Oviedo,Villarreal,0,0
34,Calvo Sotelo,Racing de Ferrol,3,0
34,Sant Andreu,Santander,2,1
35,Racing de Ferrol,Sant Andreu,1,1
35,Mallorca,Betis,0,1
35,Logrones,Oviedo,0,1
35,Ontinyent,Hercules,2,1
35,Rayo Vallecano,Calvo Sotelo,2,0
35,Santander,Cadiz,5,1
35,Villarreal,Burgos,0,0
35,Cordoba,Deportivo,1,1
35,Langreo,Castellon,0,0
35,Pontevedra,Moscardo,1,0
36,Cadiz,Racing de Ferrol,0,0
36,Castellon,Ontinyent,2,0
36,Moscardo,Cordoba,0,2
36,Burgos,Oviedo,1,1
36,Hercules,Pontevedra,3,1
36,Calvo Sotelo,Mallorca,3,1
36,Betis,Villarreal,1,1
