identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
38817,00:22.5,0:00:00,1,1,2012-05-07,1,613 Knightsbridge - Rev Rec On Hold,2012-02-13,1
38818,00:12.8,0:00:00,1,1,2012-03-05,1,614 Knightsbridge - Project Close Automation,2012-02-13,1
38819,00:39.3,0:00:00,1,1,2012-11-09,1,615 Knightsbridge - Marketing Activities,2012-02-13,1
39169,02:19.8,0:00:00,1,1,2013-01-31,2,616 6fusion EOD Mar2012-Feb2013,2012-03-01,1
39171,00:23.0,0:00:00,1,1,2012-09-10,2,617 Factiva Integration - SOW / Scope Definition,2012-03-05,1
40012,00:00.0,0:00:00,1,1,2013-12-16,2,618 Fast-Dry EOD Apr2012-Jun2012,2012-03-20,1
40015,02:23.6,0:00:00,1,1,2013-07-05,1,620 Knightsbridge CS Projects 2012 (Initial 50%),2012-03-20,1
40321,00:13.4,0:00:00,1,1,2012-04-17,1,621 Knightsbridge Scripts Migration,2012-03-27,1
40729,21:18.7,0:00:00,1,1,2013-04-26,1,622 PanAm NetSuite Implementation,2012-04-04,1
40739,00:30.0,0:00:00,1,1,2012-10-16,1,623 Knightsbridge - Rev Rec Control,2012-04-13,1
41946,00:00.0,0:00:00,1,1,2012-04-20,1,624 EFT Payment Processing,2012-04-20,1
42664,00:05.8,0:00:00,1,1,2012-04-23,2,625 School of Rock - Royalty Questions,2012-04-23,1
42869,00:00.0,0:00:00,1,1,2013-02-05,1,626 Torstar Digital EOD General (May2012 - July2012),2012-04-26,1
42883,00:00.0,0:00:00,1,1,2012-09-13,1,627 BBO Finance/Fulfilment/Billing NetSuite Optimization,2012-05-04,1
42887,01:14.0,0:00:00,1,1,2012-09-06,1,628 Knightsbridge - EFT Payment Processing,2012-05-08,1
42901,03:13.6,0:00:00,1,1,2014-06-13,2,629 Swish Data EOD General (Jun2012 - May2013),2012-05-25,1
42918,00:20.0,0:00:00,1,1,2012-07-19,2,630 Oddcast - EOD Data Migration,2012-06-01,1
43023,00:03.9,0:00:00,1,1,2012-06-29,2,631 Playaway - Additional work (EOD Aug2011-Oct2011),2012-06-04,1
43026,00:00.0,0:00:00,1,1,2013-05-09,1,632 Knightsbridge EOD General June2012-May2013,2012-06-05,1
43029,00:54.9,0:00:00,1,1,2014-02-07,2,633 Automation-X NetSuite Web support - Jun2012-Nov2012,2012-06-06,1
43043,01:21.1,0:00:00,1,1,2012-08-08,2,634 Coupa/Atlassian/Convio: NetSuite/Coupa Integration,2012-06-12,1
43253,01:30.9,0:00:00,1,1,2013-02-25,2,635 Valiant EOD General Jun2012 - May2013,2012-06-13,1
43259,00:00.0,0:00:00,1,1,2012-10-27,1,636 Nightingale - NetSuite OneWorld Blueprint/Data Project,2012-06-14,1
43260,00:01.5,0:00:00,1,1,2012-06-20,2,637 Keller Williams - Data Migration Services,2012-06-14,1
43263,00:00.0,0:00:00,1,1,2012-07-25,1,638 Warby Parker - Human Error Project,2012-06-18,1
4341,00:14.0,0:00:00,1,0,0000-00-00,1,4 Test Project,2008-09-19,1
43474,00:06.9,0:00:00,1,1,2012-07-17,1,639 PMN Implementation SOW,2012-06-22,1
4358,01:00.0,0:00:00,1,0,0000-00-00,2,5 CRM Implementation,2008-09-29,1
43679,00:00.0,0:00:00,1,1,2013-04-10,2,640 ACV EOD General Jun2012 Feb2013,2012-06-28,1
4375,00:00.0,0:00:00,1,0,0000-00-00,2,6 Remote Administration 2008,2008-10-06,1
4376,00:49.2,0:00:00,1,0,2008-11-07,1,7 NetSuite 2008.2 Upgrade Regression Test,2008-11-03,1
43885,00:00.0,0:00:00,1,1,2012-07-17,1,641 Blue Balloon Accounting Support,2012-07-03,1
43890,00:16.0,0:00:00,1,1,2012-09-24,1,642 KNB - Email Validation,2012-07-05,1
43896,00:30.0,0:00:00,1,1,2012-12-05,2,643 Rise Vision - 3 Month EoD,2012-07-19,1
43897,00:08.0,0:00:00,1,1,2012-07-19,2,644 Rise Vision - Case Management,2012-07-19,1
43903,00:00.0,0:00:00,1,1,2014-06-16,2,645 IMK EOD General (Jul2012-Jun2013),2012-07-24,1
43907,00:00.0,0:00:00,1,1,2012-10-15,2,646 Coupa/CCBCC Boomi Integration,2012-07-27,1
43908,45:27.0,0:00:00,1,1,2014-08-19,1,647 PMN - NetSuite CRM Implementation,2012-07-30,1
43917,06:31.3,0:00:00,1,1,2013-05-02,1,648 KNB - Career Solutions,2012-08-02,1
43919,00:01.5,0:00:00,1,1,2012-08-03,1,649 BBO - EOD - General Support,2012-08-03,1
4402,00:11.7,0:00:00,1,0,2008-10-31,2,8 CRM Implementation PhaseII,2008-10-31,1
44333,00:53.2,0:00:00,1,1,2012-09-14,2,650 WAP - Human Error Project 2,2012-08-21,1
